;date;campaign_id;ad_set_id;ad_id;cpm;ctr;spend;clicks;impressions;breakdown_set; breakdowns_old;platform;country_code
3991;2021-01-01;23847156667670369;23847156667640369;23847156667700369;4.75409836;0.0;0.29;0;61;{country};"{""country"": ""MX""}";ios;MX
4082;2021-01-01;23847156667670369;23847156667640369;23847156667700369;24.0;0.0;1.32;0;55;{country};"{""country"": ""AU""}";ios;AU
4147;2021-01-01;23847156667670369;23847156667640369;23847156667690369;7.05882353;1.17647059;0.6;1;85;{country};"{""country"": ""MX""}";ios;MX
4163;2021-01-01;23847156667670369;23847156667640369;23847156667660369;24.75806452;1.41129032;12.28;7;496;{country};"{""country"": ""AU""}";ios;AU
4239;2021-01-01;23847156667670369;23847156667640369;23847156667650369;4.63636364;2.72727273;0.51;3;110;{country};"{""country"": ""MX""}";ios;MX
4331;2021-01-01;23847156667670369;23847156667640369;23847156667650369;21.96078431;0.98039216;2.24;1;102;{country};"{""country"": ""AU""}";ios;AU
4414;2021-01-01;23847156335180369;23847156335210369;23847156335160369;16.8597561;3.04878049;5.53;10;328;{country};"{""country"": ""AU""}";android;AU
4450;2021-01-01;23847156335180369;23847156335210369;23847156335150369;5.0;2.17391304;0.23;1;46;{country};"{""country"": ""RU""}";android;RU
4529;2021-01-01;23847156335180369;23847156335210369;23847156335200369;5.51724138;3.44827586;0.16;1;29;{country};"{""country"": ""RU""}";android;RU
4617;2021-01-01;23847156335180369;23847156335210369;23847156335200369;10.66666667;0.0;0.16;0;15;{country};"{""country"": ""AU""}";android;AU
4625;2021-01-01;23847156335180369;23847156335210369;23847156335150369;21.0;0.0;0.21;0;10;{country};"{""country"": ""AU""}";android;AU
4688;2021-01-01;23847156335180369;23847156335210369;23847156335170369;13.04347826;0.0;0.3;0;23;{country};"{""country"": ""AU""}";android;AU
4783;2021-01-01;23846112834800717;23846417882730717;23846417962160717;2.36363636;1.81818182;0.13;1;55;{country};"{""country"": ""MX""}";android;MX
4808;2021-01-01;23846112834800717;23846417882730717;23846417962160717;0.90101523;3.04568528;0.71;24;788;{country};"{""country"": ""IN""}";android;IN
4871;2021-01-01;23846112834800717;23846417882730717;23846417882750717;0.35714286;0.0;0.01;0;28;{country};"{""country"": ""RU""}";android;RU
4887;2021-01-01;23846112834800717;23846417882730717;23846417882750717;10.0;0.0;0.01;0;1;{country};"{""country"": ""MX""}";android;MX
4900;2021-01-01;23846112834800717;23846417882730717;23846417882750717;0.21052632;2.10526316;0.02;2;95;{country};"{""country"": ""IN""}";android;IN
4936;2021-01-01;23846112834800717;23846417882730717;23846417882740717;1.66666667;0.0;0.03;0;18;{country};"{""country"": ""RU""}";android;RU
4949;2021-01-01;23846112834800717;23846417882730717;23846417882740717;0.0;0.0;0.0;0;2;{country};"{""country"": ""MX""}";android;MX
4957;2021-01-01;23846112834800717;23846417882730717;23846417882740717;0.50847458;0.0;0.03;0;59;{country};"{""country"": ""IN""}";android;IN
4992;2021-01-01;23846374662710717;23846375201710717;23846439569210717;183.67924528;0.0;19.47;0;106;{country};"{""country"": ""AU""}";android;AU
5039;2021-01-01;23846374662710717;23846374662760717;23846418354950717;68.91089109;0.4950495;13.92;1;202;{country};"{""country"": ""AU""}";android;AU
5070;2021-01-01;23846112834800717;23846417882730717;23846417962160717;1.38438881;0.58910162;0.94;4;679;{country};"{""country"": ""RU""}";android;RU
5096;2021-01-01;23846112834800717;23846402693130717;23846402693160717;0.68965517;0.0;0.02;0;29;{country};"{""country"": ""IN""}";android;IN
5143;2021-01-01;23846112834800717;23846402693130717;23846402693140717;1.50882825;0.32102729;0.94;2;623;{country};"{""country"": ""RU""}";android;RU
5167;2021-01-01;23846112834800717;23846402693130717;23846402693140717;2.10526316;2.63157895;0.08;1;38;{country};"{""country"": ""MX""}";android;MX
5189;2021-01-01;23846112834800717;23846402693130717;23846402693140717;0.72384428;3.40632603;1.19;56;1644;{country};"{""country"": ""IN""}";android;IN
5270;2021-01-01;23846112834800717;23846395566540717;23846402540090717;1.26760563;0.0;0.18;0;142;{country};"{""country"": ""RU""}";android;RU
5317;2021-01-01;23846112834800717;23846402693590717;23846402693580717;2.38095238;0.0;0.1;0;42;{country};"{""country"": ""RU""}";android;RU
5342;2021-01-01;23846112834800717;23846402693590717;23846402693580717;1.88888889;0.0;0.17;0;90;{country};"{""country"": ""IN""}";android;IN
5386;2021-01-01;23846112834800717;23846402693130717;23846402693170717;1.20689655;1.72413793;0.07;1;58;{country};"{""country"": ""RU""}";android;RU
5403;2021-01-01;23846112834800717;23846402693130717;23846402693170717;1.0;0.0;0.01;0;10;{country};"{""country"": ""MX""}";android;MX
5419;2021-01-01;23846112834800717;23846402693130717;23846402693170717;0.44444444;3.33333333;0.04;3;90;{country};"{""country"": ""IN""}";android;IN
5460;2021-01-01;23846112834800717;23846402693130717;23846402693160717;1.25;0.0;0.01;0;8;{country};"{""country"": ""RU""}";android;RU
5516;2021-01-01;23846112834800717;23846395566540717;23846395566560717;1.60935351;0.41265475;1.17;3;727;{country};"{""country"": ""RU""}";android;RU
5541;2021-01-01;23846112834800717;23846395566540717;23846395566560717;1.72413793;0.0;0.05;0;29;{country};"{""country"": ""MX""}";android;MX
5562;2021-01-01;23846112834800717;23846395566540717;23846395566560717;0.52109181;1.24069479;0.21;5;403;{country};"{""country"": ""IN""}";android;IN
5619;2021-01-01;23846112834800717;23846395566540717;23846395566550717;0.0;0.0;0.0;0;14;{country};"{""country"": ""RU""}";android;RU
5641;2021-01-01;23846112834800717;23846395566540717;23846395566550717;0.88888889;1.11111111;0.08;1;90;{country};"{""country"": ""IN""}";android;IN
5673;2021-01-01;23846112834800717;23846395566540717;23846402540090717;1.53846154;0.0;0.02;0;13;{country};"{""country"": ""MX""}";android;MX
5689;2021-01-01;23846112834800717;23846395566540717;23846402540090717;0.37735849;0.94339623;0.08;2;212;{country};"{""country"": ""IN""}";android;IN
5742;2021-01-01;23846112834800717;23846402450660717;23846402450680717;1.42857143;0.0;0.03;0;21;{country};"{""country"": ""RU""}";android;RU
