hitId,anonymousId,hitTime,utm_campaign,utm_source,utm_medium
b6083df0-0b9b-11e8-9785-89631e066e41,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:23.901999 UTC,,,
ba2c4520-0b9b-11e8-9785-89631e066e41,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:30.854000 UTC,,,
bd2d2910-0b9b-11e8-9785-89631e066e41,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:35.891999 UTC,,,
be158d40-0b9b-11e8-9785-89631e066e41,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:37.415999 UTC,,,
ca586ff0-0b9b-11e8-af70-11818779132c,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:57.986999 UTC,,,
ca5b7d30-0b9b-11e8-af70-11818779132c,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:57.990999 UTC,,,
cec7d800-0b9b-11e8-af70-11818779132c,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:14:05.418999 UTC,,,
cecc44d0-0b9b-11e8-af70-11818779132c,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:14:05.441999 UTC,,,
d71b7f20-0b9b-11e8-af70-11818779132c,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:14:19.397000 UTC,,,
d72199a0-0b9b-11e8-af70-11818779132c,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:14:19.424000 UTC,,,
df935010-0b9b-11e8-9d84-ddb5e82c9150,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:14:33.658999 UTC,,,
df9aca20-0b9b-11e8-9d84-ddb5e82c9150,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:14:33.690999 UTC,,,
e81c8620-0b9b-11e8-9d84-ddb5e82c9150,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:14:47.966000 UTC,,,
